dose_ppm_hr,concentration_ppm,duration_hours,temp_c,rh_pct,r,g,b,L,a,b_lab,delta_e,delta_e_env,correction_residual,brightness,blur_score
95.987,17.541,5.47,21.1,38.6,43.29,45.6,29.35,18.0685,-4.44,10.1812,67.2927,3.0049,7.505,187.17,82.88
7.542,2.122,3.55,37.4,63.1,175.49,160.43,133.04,66.6409,1.048,16.2888,14.1958,7.929,6.426,207.53,771.64
68.6,15.539,4.41,23.2,36.6,59.98,53.72,46.51,22.9085,1.3148,5.5429,60.8932,1.4485,0.624,198.47,179.2
52.083,12.532,4.16,20.9,46.0,70.81,61.27,45.4,26.4221,1.3054,11.3134,55.5756,3.4462,5.025,183.99,665.33
43.416,23.661,1.83,24.5,35.8,87.14,73.1,63.23,32.1976,4.172,8.1109,48.9726,2.125,0.586,186.64,624.38
77.956,10.589,7.36,26.6,42.5,51.72,40.63,36.36,17.5189,4.3366,4.7487,68.9166,4.5053,3.925,199.43,693.79
61.573,44.393,1.39,21.6,54.4,54.54,55.15,47.34,22.8411,-1.9679,4.8116,60.9793,3.0901,7.404,176.46,154.75
3.755,0.629,5.97,36.6,38.9,192.99,196.81,152.12,78.1409,-8.7481,22.0451,8.4174,6.6219,6.286,215.5,767.33
87.361,12.942,6.75,28.0,66.9,49.09,44.08,40.44,18.4466,1.5031,3.1809,67.4247,3.5142,0.513,185.46,74.95
16.038,2.04,7.86,18.7,52.3,158.13,141.57,120.17,59.7643,2.6673,13.6832,20.4147,2.1927,2.967,188.46,573.54
2.012,0.326,6.17,31.0,57.9,211.75,201.5,165.62,81.1296,-2.1821,19.2416,3.1531,4.647,4.656,217.07,721.58
11.257,1.717,6.56,19.9,52.7,161.21,148.05,132.72,62.0656,2.2357,9.8657,19.0855,5.9845,5.724,207.71,691.46
4.339,2.289,1.9,33.5,41.9,207.94,187.86,154.47,77.0748,1.9556,19.5186,7.0895,4.0838,10.701,225.17,1073.58
22.193,5.54,4.01,20.7,71.6,117.4,102.67,88.84,44.4668,3.4525,9.9586,35.0405,3.8123,1.991,188.55,653.23
7.748,2.128,3.64,37.3,81.7,155.04,147.49,123.76,61.1692,-1.2937,13.5767,18.5574,6.6861,0.643,203.59,609.93
97.02,32.004,3.03,29.0,71.9,47.52,40.12,34.48,16.8022,2.2903,4.978,69.443,4.5059,0.507,164.27,124.16
60.429,13.306,4.54,18.9,43.6,65.74,50.45,38.22,22.3403,4.8441,10.4057,61.7674,5.7091,9.14,200.6,92.92
20.156,5.859,3.44,36.0,54.5,114.86,105.59,84.46,44.9526,-0.0414,13.2143,33.6325,4.9456,4.405,209.3,759.87
32.879,11.627,2.83,23.6,73.5,95.39,84.76,73.9,36.7544,2.3633,7.9336,43.2745,3.0413,3.185,188.36,170.95
6.762,2.319,2.92,21.3,44.9,188.21,179.2,152.92,73.1122,-1.181,14.5862,9.1949,3.3644,4.59,211.81,860.85
2.501,0.385,6.49,33.7,57.7,210.48,211.02,163.53,83.4594,-7.8712,23.5368,6.0945,5.713,7.137,227.74,833.07
5.147,0.884,5.82,37.7,83.7,183.87,172.95,140.45,70.8351,-1.3667,18.1458,10.526,6.7069,4.174,215.62,760.2
2.287,0.967,2.37,20.0,73.9,215.63,200.61,169.61,81.3036,0.3133,17.4135,3.7803,2.4243,0.664,209.54,631.6
15.933,7.903,2.02,28.3,65.7,127.99,114.87,95.95,49.0864,1.8617,12.3457,29.8451,4.1318,8.011,189.65,607.96
2.029,0.294,6.9,18.5,84.1,211.48,206.98,166.32,82.5401,-5.0251,20.8186,4.0875,3.4044,4.443,224.97,844.11
9.859,2.594,3.8,21.9,80.4,169.06,161.72,136.19,66.4944,-1.6761,14.2557,14.1887,1.6046,5.616,218.92,106.75
13.72,2.148,6.39,33.5,46.7,134.22,126.94,105.51,53.2541,-0.9949,12.6646,25.5783,4.9037,3.713,195.98,676.01
2.457,0.472,5.2,34.7,50.5,204.16,190.81,169.59,77.8306,1.1943,12.4035,7.5056,6.1244,5.002,203.32,644.63
8.082,2.799,2.89,27.6,48.8,177.43,162.22,135.26,67.3317,1.1645,16.0456,13.7172,3.2368,0.673,182.12,519.35
2.558,0.572,4.47,24.1,79.4,209.57,210.61,169.91,83.4069,-7.0787,20.1045,5.6632,5.7933,8.035,224.97,232.2
6.808,1.021,6.67,24.8,41.7,187.09,169.9,140.81,70.322,1.5748,17.2781,11.5329,2.8946,3.08,217.57,841.08
12.68,5.55,2.28,31.4,35.1,144.63,133.5,115.8,56.2427,1.1264,11.0595,23.3162,4.239,2.893,177.0,101.09
6.829,6.121,1.12,26.8,62.8,185.07,179.17,143.68,72.6516,-3.7501,18.9179,9.4402,3.3108,4.221,212.45,766.35
10.695,1.602,6.68,36.3,52.6,146.96,137.37,113.33,57.4582,-0.506,14.204,21.6947,6.2061,3.325,205.96,741.85
10.377,1.611,6.44,29.5,49.7,148.41,138.55,114.01,57.927,-0.4794,14.487,21.2652,3.596,2.381,186.99,577.44
8.374,6.632,1.26,28.1,83.7,170.43,162.65,129.24,66.715,-2.6939,18.4154,13.7799,4.1781,4.676,218.16,805.92
23.839,4.477,5.32,31.7,35.2,108.48,98.53,82.73,42.2683,1.1422,10.4344,36.7668,5.1107,3.607,191.1,664.48
3.814,0.57,6.69,29.2,63.2,209.59,196.75,161.76,79.6489,-1.0662,19.2067,4.14,3.5605,3.103,222.92,231.07
36.305,26.222,1.38,27.0,52.0,96.86,82.73,71.11,36.2423,3.7868,8.9686,44.0373,3.2362,4.748,206.5,752.27
89.733,12.732,7.05,18.9,42.7,48.62,39.89,33.86,16.8361,2.8735,5.4825,69.4299,0.5019,4.097,199.73,113.27
60.809,19.842,3.06,30.3,79.2,56.23,51.62,36.11,21.5712,-0.9123,10.5886,62.2385,5.7931,3.487,191.35,106.51
6.62,5.434,1.22,23.4,72.8,195.66,181.51,149.91,74.2843,-0.0251,17.9431,8.145,4.6473,7.638,224.35,723.22
26.036,7.016,3.71,28.9,51.6,96.0,88.45,78.69,38.0239,1.2082,6.7613,41.8128,3.3481,5.808,190.32,629.88
9.311,1.496,6.22,30.4,74.7,175.14,155.28,126.67,65.1152,2.8111,17.6982,15.8413,5.8621,5.98,201.25,178.49
10.975,7.676,1.43,36.2,76.7,139.96,131.68,108.45,55.1549,-0.8853,13.6915,23.7621,6.6119,2.614,203.92,220.49
34.143,15.498,2.2,27.5,57.8,85.79,74.96,63.63,32.6162,2.4616,8.4264,48.0666,2.9634,2.789,203.38,712.63
58.026,23.908,2.43,18.2,81.1,71.14,64.24,44.73,27.3689,-0.5411,13.0256,54.1199,8.271,8.978,186.76,118.54
83.154,63.604,1.31,31.4,83.5,46.77,41.78,32.41,17.2077,0.3933,6.9738,68.5408,5.1072,0.964,194.37,708.92
8.482,1.276,6.65,37.3,36.4,164.65,159.75,131.92,65.5006,-2.9847,15.1831,14.9927,6.3216,4.5,212.59,699.17
72.867,38.554,1.89,35.7,79.7,48.46,39.4,35.88,16.7179,3.5105,3.8945,69.8924,7.174,0.546,195.65,849.66
7.422,1.488,4.99,31.6,53.1,172.03,160.13,137.19,66.3463,0.4892,13.5365,14.5849,5.5069,1.472,208.23,137.49
52.42,24.019,2.18,21.4,68.1,76.98,60.3,57.35,27.1276,6.7682,4.5907,56.5371,4.2482,7.017,205.78,731.52
70.368,9.343,7.53,28.3,74.1,50.1,40.7,37.59,17.3826,3.7353,3.6649,69.1308,2.9915,6.533,201.89,845.75
4.831,0.808,5.98,28.9,75.7,190.08,180.87,156.77,73.7919,-0.7744,13.4719,8.9706,4.0961,0.69,191.94,112.85
11.721,1.759,6.67,26.1,54.1,158.73,154.09,127.58,63.3704,-2.8801,14.5557,16.7491,3.3103,6.478,217.92,191.14
23.064,5.445,4.24,29.7,43.9,115.15,106.42,85.52,45.2394,-0.2342,12.9881,33.3424,6.1988,4.857,197.81,171.17
89.425,16.671,5.36,31.3,79.5,48.05,39.67,33.36,16.6844,2.6582,5.6057,69.5716,5.7976,0.383,188.68,721.29
28.371,8.355,3.4,27.7,78.3,101.82,87.96,73.32,38.3263,3.1175,10.5846,41.3605,5.7393,8.555,211.38,812.73
43.092,8.558,5.04,28.2,68.2,60.03,60.47,48.46,25.1379,-2.692,7.3757,57.5557,4.8654,7.426,184.19,602.83
25.933,5.738,4.52,19.8,84.2,113.76,106.16,90.95,45.1617,0.2098,9.6211,33.7636,2.3814,0.9,197.15,795.38
2.123,0.309,6.87,22.3,47.9,208.43,213.16,172.45,84.0361,-8.4231,19.629,6.8054,4.4219,4.883,225.46,721.63
48.454,6.175,7.85,20.2,76.7,71.15,56.1,56.25,25.1715,6.6863,2.4265,59.4809,4.4419,7.852,196.21,669.07
89.556,18.955,4.72,18.6,39.2,45.76,37.07,40.41,15.7919,4.7976,-0.6862,72.0638,6.402,11.314,207.22,794.86
7.344,3.026,2.43,33.2,54.5,170.47,160.46,131.73,66.182,-1.1261,16.3064,14.2389,4.4999,1.987,214.88,791.07
20.299,4.482,4.53,26.1,55.8,106.25,95.73,83.1,41.2521,1.9315,8.7551,38.1619,5.1341,9.154,191.6,641.21
35.032,7.302,4.8,31.1,54.0,78.44,71.45,57.83,30.6561,0.3825,9.2616,50.143,3.4512,8.593,206.88,867.28
2.306,0.315,7.32,27.5,46.6,211.8,200.08,167.02,80.7965,-1.2219,18.0343,3.3976,3.8478,2.683,191.02,614.62
6.566,4.808,1.37,24.2,73.5,187.76,172.72,150.89,71.3324,1.8077,13.1859,11.5016,5.2693,4.206,203.82,629.12
81.966,15.846,5.17,33.8,65.7,49.95,44.6,35.69,18.5796,0.6292,6.6677,66.7609,6.0171,0.822,173.22,820.33
42.31,15.345,2.76,18.7,57.8,86.72,76.43,60.33,33.073,1.4339,11.1508,47.1159,1.8809,3.694,196.53,719.5
53.589,13.372,4.01,24.5,53.9,65.0,62.11,48.01,26.1408,-1.537,9.1337,55.9903,3.7177,2.934,193.82,802.34
4.223,1.507,2.8,22.3,77.7,201.2,187.09,163.62,76.4921,1.143,13.6987,7.7989,5.9028,6.092,218.35,141.48
50.122,19.936,2.51,36.4,80.1,60.47,52.57,43.38,22.5137,1.732,7.098,61.3275,6.4949,0.575,188.18,568.19
49.054,7.317,6.7,37.5,39.6,65.42,54.69,50.94,23.9351,4.0145,4.1162,60.1575,6.3147,0.73,173.39,585.21
0.374,0.155,2.41,36.2,49.1,221.56,208.58,176.76,83.9767,-0.5935,17.4337,1.865,6.3373,4.402,202.65,587.45
10.634,1.937,5.49,23.5,44.6,160.73,155.4,128.01,63.9059,-2.7457,15.0839,16.2439,2.6517,0.571,201.67,105.07
6.772,3.387,2.0,36.5,83.8,164.96,165.29,131.43,67.023,-5.9295,17.5653,14.3243,7.2685,5.846,213.72,680.64
8.948,2.505,3.57,30.8,68.2,176.15,159.82,133.21,66.5419,1.6658,16.0646,14.4705,3.28,8.334,219.55,203.89
31.831,6.24,5.1,23.5,52.6,90.08,76.26,68.13,33.5657,4.3203,6.9729,47.5468,2.9464,5.484,207.31,132.14
44.079,24.641,1.79,23.8,70.3,80.28,69.93,63.56,30.5299,3.1729,5.4466,51.1661,4.7127,8.161,188.42,867.73
1.191,0.315,3.78,31.7,65.2,211.27,203.47,171.29,81.715,-2.5542,17.0403,3.2129,4.897,0.738,201.96,218.22
72.308,15.188,4.76,23.6,75.6,55.94,40.12,42.34,18.0729,7.8216,1.428,69.5156,5.5099,5.117,200.13,777.42
11.445,5.189,2.21,21.2,76.0,160.13,141.57,122.82,60.0087,3.8643,12.5516,20.8498,5.6918,9.848,215.4,699.4
2.347,0.334,7.02,18.8,36.1,213.89,202.42,165.69,81.5437,-1.8477,19.805,2.8255,1.6599,0.736,204.4,116.08
62.919,8.383,7.51,21.8,61.3,60.19,47.56,43.06,20.9026,4.8917,5.0501,64.395,3.3073,7.494,205.38,1000.41
8.158,4.901,1.66,32.6,45.5,166.46,160.39,129.36,65.7721,-3.0137,16.9997,14.6295,6.1825,1.825,209.09,742.86
5.518,4.956,1.11,21.6,62.2,196.09,177.84,151.89,73.4094,2.3867,15.6582,9.9924,3.4831,3.113,196.54,532.78
35.064,4.579,7.66,36.9,75.8,65.77,61.57,53.56,26.1896,0.1794,5.5805,56.2972,8.0894,4.445,186.41,687.19
20.962,2.744,7.64,34.5,53.0,106.39,97.38,77.56,41.6135,0.1058,12.6171,37.1789,9.5927,9.349,194.42,158.81
24.965,6.06,4.12,37.7,82.7,93.96,84.67,68.83,36.4632,0.9452,10.6491,43.1067,7.0483,2.955,180.34,106.93
10.687,3.932,2.72,32.0,47.9,154.51,144.76,118.83,60.273,-0.7584,15.0993,19.1879,4.4176,0.52,198.03,164.61
7.595,1.142,6.65,19.8,58.3,180.89,170.08,140.16,69.8162,-1.0183,16.8505,11.3778,2.5549,0.47,198.23,676.79
20.549,5.363,3.83,33.9,76.1,105.07,93.65,76.25,40.3716,1.5576,11.6798,38.7386,9.5361,9.17,188.07,645.3
59.817,11.651,5.13,35.4,56.6,46.72,46.81,30.1,18.8424,-3.4169,10.7716,66.1344,10.0045,8.933,198.84,693.41
4.667,1.251,3.73,35.0,53.2,191.13,176.59,151.61,72.6467,1.1241,14.6786,10.023,3.8909,8.918,224.05,112.0
6.597,3.297,2.0,34.3,47.6,182.04,167.89,145.51,69.4521,1.4116,13.4229,12.5781,6.2162,5.086,181.35,558.24
17.367,2.884,6.02,30.8,55.0,110.59,103.51,86.34,43.9908,-0.3199,10.6951,34.8084,5.5591,4.58,200.72,757.99
0.439,0.098,4.49,22.3,78.7,218.4,220.4,177.46,86.7786,-7.7271,20.9256,5.9549,3.6012,6.144,216.55,174.8
98.255,21.598,4.55,35.1,42.6,47.29,32.71,32.32,14.3383,6.9605,3.0185,73.3915,5.7635,5.544,188.66,656.53
3.786,2.002,1.89,26.8,45.0,198.25,196.45,156.03,78.5337,-6.0139,20.5738,6.5873,3.5809,4.096,220.54,802.89
11.524,2.302,5.01,36.2,36.6,152.69,139.66,114.79,58.6338,0.7394,15.0809,20.7509,8.7429,6.667,200.61,655.46
2.521,0.536,4.7,21.1,62.7,216.46,209.26,177.11,83.7463,-2.7775,16.8611,2.4235,3.2485,10.79,229.47,199.13
22.805,8.68,2.63,18.8,61.9,125.24,113.28,95.1,48.3597,1.5062,11.7891,30.5337,2.0104,0.479,188.46,112.87
1.433,0.483,2.97,24.2,53.4,219.17,218.41,164.67,86.0801,-8.2327,26.6281,6.3694,3.489,7.372,226.88,702.89
52.755,22.594,2.33,19.3,56.2,82.44,69.18,62.34,30.5066,4.3911,6.2325,51.3621,5.5921,5.153,205.98,960.1
99.831,26.592,3.75,34.4,63.5,44.34,39.23,35.22,16.1642,1.5072,3.5049,70.2999,5.1018,2.837,198.41,236.02
35.353,4.483,7.89,31.8,62.9,70.66,58.46,53.15,25.7389,4.3454,5.2913,57.6122,6.0971,7.536,207.47,89.65
8.335,1.993,4.18,19.8,40.0,190.34,175.87,146.17,72.2772,0.3983,17.1127,9.7476,0.8992,6.053,222.86,854.2
76.277,15.533,4.91,27.5,79.3,47.8,40.17,36.29,16.9028,2.7398,3.8568,69.5316,3.8914,2.516,185.37,753.78
7.487,1.03,7.27,21.3,80.2,188.94,166.97,135.43,69.6119,3.1245,19.2693,12.5796,2.8896,7.241,194.98,109.14
30.296,26.081,1.16,24.2,62.4,98.71,91.47,76.16,39.1109,0.1043,9.8853,40.1205,2.3913,1.839,201.19,704.16
57.972,10.261,5.65,35.8,54.5,54.3,45.82,34.96,19.449,1.8145,8.4444,65.5218,5.8309,2.866,194.62,720.26
4.773,2.524,1.89,18.3,44.9,204.83,184.08,162.92,76.0142,4.0063,13.448,10.2549,5.5043,8.519,218.87,769.84
5.152,3.634,1.42,37.6,37.2,187.88,190.42,157.64,76.1557,-6.5056,16.2879,8.7825,5.7469,9.576,225.65,759.8
21.836,5.682,3.84,36.2,57.0,93.3,86.3,70.22,36.9146,-0.1068,10.4027,42.5276,6.5942,0.544,192.47,229.17
62.8,38.582,1.63,25.0,65.1,59.73,48.94,36.17,21.1038,2.5948,9.9794,63.1788,3.196,4.901,199.09,164.18
65.369,15.581,4.2,35.6,79.6,53.91,43.88,31.6,18.6977,2.3994,9.7031,66.533,6.9498,3.662,160.04,511.47
58.414,48.65,1.2,19.6,59.8,66.71,56.11,45.16,24.3649,2.6642,8.583,58.7428,2.564,3.652,186.54,660.05
90.869,13.406,6.78,20.1,76.9,52.14,41.02,39.14,17.7761,4.7874,3.1793,68.9117,6.2725,5.019,184.8,675.89
6.74,1.143,5.9,32.8,52.1,173.64,164.06,139.57,67.5847,-0.6596,13.9695,13.4022,4.7391,0.646,190.46,619.63
10.771,1.689,6.38,25.6,68.5,152.22,141.11,118.73,59.0728,0.3435,13.4527,20.4551,4.2485,0.886,202.17,789.95
11.474,5.051,2.27,35.4,59.5,145.78,134.16,115.45,56.5204,1.1596,11.663,22.9988,5.0179,0.47,204.5,749.61
1.651,0.229,7.21,22.2,36.8,220.34,205.07,168.44,82.812,-0.4179,20.1869,2.3779,3.6805,4.503,209.44,647.54
91.109,12.111,7.52,23.8,69.3,55.66,37.14,42.99,17.1676,9.8577,-0.351,71.4599,6.1439,6.409,197.15,789.35
8.091,6.64,1.22,36.5,43.5,171.27,151.7,122.91,63.7352,2.7056,17.8297,16.868,6.7312,5.922,210.43,137.66
22.289,9.353,2.38,29.7,69.7,108.82,100.27,85.65,42.8722,0.7339,9.5246,36.1798,4.4653,1.491,192.94,96.73
5.224,1.651,3.16,21.3,72.8,191.18,174.97,142.07,72.0304,0.6175,19.0136,9.9077,5.2276,3.976,215.93,861.7
0.407,0.067,6.06,24.1,68.2,215.59,210.76,173.15,83.9812,-4.4553,19.271,3.2606,3.4122,6.364,221.39,171.69
11.502,1.534,7.5,30.8,37.8,159.72,149.41,120.93,62.04,-0.9323,16.4367,17.6116,2.4838,4.678,212.18,833.93
3.197,0.467,6.85,28.3,47.7,205.75,208.73,167.33,82.5699,-7.9034,20.2562,6.5068,2.3296,10.103,229.91,76.06
39.847,10.645,3.74,23.2,77.2,82.64,71.35,59.01,31.091,2.5445,9.1801,49.8675,4.2561,7.996,205.19,115.22
63.939,8.914,7.17,24.3,54.0,61.77,52.62,43.09,22.6667,2.2682,7.528,61.1416,2.8459,1.152,190.42,684.19
47.532,7.138,6.66,29.8,48.9,61.53,54.3,47.44,23.2842,1.8282,5.4754,60.4451,2.0718,4.444,202.94,86.54
25.29,7.602,3.33,37.6,58.5,94.41,86.13,71.01,36.992,0.6133,10.0422,42.5217,6.6026,0.515,189.11,209.72
1.828,0.585,3.13,32.2,83.6,205.65,193.58,162.25,78.5124,-0.8209,17.3166,5.0733,5.5481,0.524,196.74,589.32
0.884,0.121,7.32,34.6,82.8,215.25,209.57,194.79,84.1199,-0.5836,8.0166,7.1075,11.2935,11.073,227.68,177.44
7.144,3.563,2.01,30.2,64.1,171.85,161.38,136.47,66.6482,-0.372,14.3548,14.1037,4.1152,7.802,221.3,85.42
0.6,0.094,6.4,23.5,43.6,224.85,211.8,184.9,85.2354,0.1535,14.9416,3.1385,4.6347,5.337,211.75,133.27
58.972,19.053,3.1,29.8,53.9,59.68,53.31,44.71,22.6992,1.1094,6.4499,61.0638,3.8997,2.613,181.73,645.1
7.765,1.379,5.63,29.0,59.0,162.21,154.56,131.54,63.8787,-1.1563,13.0959,16.4027,5.836,3.413,197.18,660.06
3.139,1.101,2.85,30.3,64.0,204.9,200.27,159.5,80.1348,-4.9968,21.0208,5.1165,3.544,6.645,226.49,841.16
83.676,11.799,7.09,29.3,65.7,52.0,42.26,31.31,17.9433,2.4886,8.8364,67.6249,4.4808,4.089,191.25,109.6
31.87,5.998,5.31,18.9,45.7,102.14,94.53,71.98,40.2484,-0.9155,14.051,38.5353,2.9847,5.25,186.96,165.45
10.04,4.137,2.43,27.7,42.6,164.04,158.02,130.89,64.9582,-2.4377,14.9872,15.374,3.2996,0.408,197.7,699.85
43.981,15.674,2.81,18.2,39.7,86.75,79.21,65.75,34.0378,0.6108,9.0893,46.0457,1.7147,1.148,175.19,567.63
10.618,1.482,7.17,22.4,67.2,168.06,157.99,134.19,65.3649,-0.3437,13.7735,15.1816,4.7244,4.043,216.71,819.38
70.519,13.277,5.31,31.0,72.0,53.61,36.55,34.67,16.4447,7.7815,4.4498,71.0423,6.3083,5.107,193.52,715.08
43.674,11.479,3.8,18.6,56.1,75.31,71.73,57.34,30.4162,-1.286,9.1936,50.403,5.2535,8.409,206.0,99.03
36.879,4.87,7.57,31.3,84.6,73.84,68.33,60.11,29.2892,0.7009,5.8166,52.2589,5.8966,1.661,196.18,893.33
98.275,12.802,7.68,35.7,60.3,42.92,41.34,33.05,16.6595,-1.0726,5.7042,69.3143,5.8721,1.609,195.29,799.65
2.036,0.325,6.27,33.6,54.1,200.97,194.81,168.21,78.5753,-2.313,14.1591,5.8041,5.686,1.743,218.06,784.37
36.953,12.266,3.01,23.8,64.9,80.23,69.0,60.66,30.1708,3.2243,6.8018,51.4215,4.6658,4.096,194.23,815.21
11.212,9.899,1.13,25.9,56.7,163.72,156.36,127.89,64.416,-2.1151,15.8977,15.7023,6.4629,5.564,216.51,729.13
8.436,1.755,4.81,22.8,40.5,172.16,176.97,146.9,71.0928,-6.9903,14.8449,12.3552,8.0484,7.855,215.39,720.33
82.609,11.299,7.31,26.4,83.6,50.18,39.75,29.97,16.8781,3.086,8.2778,69.1314,4.3576,2.841,184.26,163.78
6.816,0.957,7.12,28.7,56.0,181.09,176.67,140.83,71.6015,-4.3728,18.9598,10.3714,4.0591,8.43,220.49,761.78
5.043,1.239,4.07,35.5,36.9,188.79,176.13,144.88,72.1846,-0.525,17.6688,9.5943,4.6631,3.422,218.82,773.58
11.619,2.909,3.99,31.6,47.1,148.23,147.24,120.03,60.4431,-4.4311,14.574,19.4233,6.1176,8.544,211.5,646.25
59.202,50.489,1.17,30.7,73.3,54.59,45.52,37.97,19.4642,2.674,6.4138,65.8006,5.2343,1.208,199.69,825.0
10.701,1.699,6.3,18.8,75.3,173.51,167.57,139.1,68.5033,-2.6802,15.5146,12.5802,3.1702,3.435,213.2,137.16
33.208,5.86,5.67,24.7,73.8,72.46,70.14,51.22,29.4985,-2.625,11.7883,51.4235,4.8386,8.268,189.0,712.66
21.586,2.714,7.95,27.5,77.3,115.93,105.45,86.28,45.0529,0.786,12.2868,33.6711,3.7156,4.48,210.0,737.47
0.938,0.197,4.77,19.4,46.5,218.96,208.31,169.99,83.5592,-2.3982,20.3855,1.7504,3.361,3.186,212.2,96.35
7.395,1.279,5.78,22.2,49.6,179.29,168.11,143.67,69.2326,-0.0489,14.0913,12.2188,3.0219,2.729,218.56,205.12
9.425,1.402,6.72,25.2,69.8,169.75,157.91,129.91,65.3966,-0.2877,16.2196,14.9309,3.9309,3.053,206.71,248.68
0.414,0.097,4.27,26.1,72.5,219.98,206.13,174.37,83.1729,-0.2577,17.5546,2.4206,5.8191,4.865,217.57,621.27
54.433,18.0,3.02,25.1,44.7,55.38,47.81,38.84,20.3094,1.6658,7.0084,64.4268,2.8201,0.504,166.69,667.4
